PackageID,PackagePoint X,PackagePoint Y,Delayed,Delivery Time,End X,End Y
p_it350_0,5,5,False,,2,1
p_it352_0,5,5,False,,5,9
p_it354_0,5,5,False,,9,7
p_it356_0,5,5,False,,9,1
p_it358_0,5,5,False,,9,9
p_it360_0,5,5,False,,7,1
p_it362_0,5,5,False,,1,2
p_it364_0,5,5,False,,9,1
p_it366_0,5,5,False,,4,1
p_it368_0,5,5,False,,5,1
p_it370_0,5,5,False,,9,4
p_it372_0,5,5,False,,1,2
p_it374_0,5,5,False,,7,1
p_it376_0,5,5,False,,2,9
p_it378_0,5,5,False,,1,2
p_it380_0,5,5,False,,9,4
p_it382_0,5,5,False,,1,1
p_it384_0,5,5,False,,1,1
p_it386_0,5,5,False,,1,5
p_it388_0,5,5,False,,2,9
p_it390_0,5,5,False,,1,1
p_it392_0,5,5,False,,9,9
p_it394_0,5,5,False,,1,4
p_it396_0,5,5,False,,9,5
p_it398_0,5,5,False,,9,9
p_it400_0,5,5,False,,1,9
p_it402_0,5,5,False,,7,9
p_it404_0,5,5,False,,1,1
p_it406_0,5,5,False,,2,9
p_it408_0,5,5,False,,1,2
p_it410_0,5,5,False,,1,7
p_it412_0,5,5,False,,9,7
p_it414_0,5,5,False,,9,1
p_it416_0,5,5,False,,7,9
p_it418_0,5,5,False,,9,9
p_it420_0,5,5,False,,2,9
p_it422_0,5,5,False,,5,9
p_it424_0,5,5,False,,2,9
p_it426_0,5,5,False,,5,1
p_it428_0,5,5,False,,5,9
p_it430_0,5,5,False,,1,9
p_it432_0,5,5,False,,9,5
p_it434_0,5,5,False,,1,5
p_it436_0,5,5,False,,9,4
p_it438_0,5,5,False,,7,1
p_it440_0,5,5,False,,9,9
p_it442_0,5,5,False,,1,2
p_it444_0,5,5,False,,5,1
p_it446_0,5,5,False,,1,7
p_it448_0,5,5,False,,9,7
p_it450_0,5,5,False,,5,1
p_it452_0,5,5,False,,9,1
p_it454_0,5,5,False,,7,9
p_it456_0,5,5,False,,1,5
p_it458_0,5,5,False,,1,5
p_it460_0,5,5,False,,2,9
p_it462_0,5,5,False,,5,1
p_it464_0,5,5,False,,4,9
p_it466_0,5,5,False,,7,9
p_it468_0,5,5,False,,7,9
p_it470_0,5,5,False,,9,5
p_it472_0,5,5,False,,1,5
p_it474_0,5,5,False,,2,9
p_it476_0,5,5,False,,7,9
p_it478_0,5,5,False,,1,2
p_it480_0,5,5,False,,1,1
p_it482_0,5,5,False,,9,5
p_it484_0,5,5,False,,1,1
p_it486_0,5,5,False,,9,2
p_it488_0,5,5,False,,1,5
p_it490_0,5,5,False,,9,4
p_it492_0,5,5,False,,1,2
p_it494_0,5,5,False,,2,9
p_it496_0,5,5,False,,1,1
p_it498_0,5,5,False,,1,5
p_it500_0,5,5,False,,9,7
